"id","code","description","parent_id:id"
"cnae_A","A","Agricultura, ganadería, silvicultura y pesca",""
"cnae_A01","A01","Agricultura, ganadería, caza y servicios relacionados con las mismas","cnae_A"
"cnae_A011","A011","Cultivos no perennes","cnae_A01"
"cnae_A0111","A0111","Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas","cnae_A011"
"cnae_A0112","A0112","Cultivo de arroz","cnae_A011"
"cnae_A0113","A0113","Cultivo de hortalizas, raíces y tubérculos","cnae_A011"
"cnae_A0114","A0114","Cultivo de caña de azúcar","cnae_A011"
"cnae_A0115","A0115","Cultivo de tabaco","cnae_A011"
"cnae_A0116","A0116","Cultivo de plantas para fibras textiles","cnae_A011"
"cnae_A0119","A0119","Otros cultivos no perennes","cnae_A011"
"cnae_A012","A012","Cultivos perennes","cnae_A01"
"cnae_A0121","A0121","Cultivo de la vid","cnae_A012"
"cnae_A0122","A0122","Cultivo de frutos tropicales y subtropicales","cnae_A012"
"cnae_A0123","A0123","Cultivo de cítricos","cnae_A012"
"cnae_A0124","A0124","Cultivo de frutos con hueso y pepitas","cnae_A012"
"cnae_A0125","A0125","Cultivo de otros árboles y arbustos frutales y frutos secos","cnae_A012"
"cnae_A0126","A0126","Cultivo de frutos oleaginosos","cnae_A012"
"cnae_A0127","A0127","Cultivo de plantas para bebidas","cnae_A012"
"cnae_A0128","A0128","Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas","cnae_A012"
"cnae_A0129","A0129","Otros cultivos perennes","cnae_A012"
"cnae_A013","A013","Propagación de plantas","cnae_A01"
"cnae_A0130","A0130","Propagación de plantas","cnae_A013"
"cnae_A014","A014","Producción ganadera","cnae_A01"
"cnae_A0141","A0141","Explotación de ganado bovino para la producción de leche","cnae_A014"
"cnae_A0142","A0142","Explotación de otro ganado bovino y búfalos","cnae_A014"
"cnae_A0143","A0143","Explotación de caballos y otros equinos","cnae_A014"
"cnae_A0144","A0144","Explotación de camellos y otros camélidos","cnae_A014"
"cnae_A0145","A0145","Explotación de ganado ovino y caprino","cnae_A014"
"cnae_A0146","A0146","Explotación de ganado porcino","cnae_A014"
"cnae_A0147","A0147","Avicultura","cnae_A014"
"cnae_A0149","A0149","Otras explotaciones de ganado","cnae_A014"
"cnae_A015","A015","Producción agrícola combinada con la producción ganadera","cnae_A01"
"cnae_A0150","A0150","Producción agrícola combinada con la producción ganadera","cnae_A015"
"cnae_A016","A016","Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha","cnae_A01"
"cnae_A0161","A0161","Actividades de apoyo a la agricultura","cnae_A016"
"cnae_A0162","A0162","Actividades de apoyo a la ganadería","cnae_A016"
"cnae_A0163","A0163","Actividades de preparación posterior a la cosecha","cnae_A016"
"cnae_A0164","A0164","Tratamiento de semillas para reproducción","cnae_A016"
"cnae_A017","A017","Caza, captura de animales y servicios relacionados con las mismas","cnae_A01"
"cnae_A0170","A0170","Caza, captura de animales y servicios relacionados con las mismas","cnae_A017"
"cnae_A02","A02","Silvicultura y explotación forestal","cnae_A"
"cnae_A021","A021","Silvicultura y otras actividades forestales","cnae_A02"
"cnae_A0210","A0210","Silvicultura y otras actividades forestales","cnae_A021"
"cnae_A022","A022","Explotación de la madera","cnae_A02"
"cnae_A0220","A0220","Explotación de la madera","cnae_A022"
"cnae_A023","A023","Recolección de productos silvestres, excepto madera","cnae_A02"
"cnae_A0230","A0230","Recolección de productos silvestres, excepto madera","cnae_A023"
"cnae_A024","A024","Servicios de apoyo a la silvicultura","cnae_A02"
"cnae_A0240","A0240","Servicios de apoyo a la silvicultura","cnae_A024"
"cnae_A03","A03","Pesca y acuicultura","cnae_A"
"cnae_A031","A031","Pesca","cnae_A03"
"cnae_A0311","A0311","Pesca marina","cnae_A031"
"cnae_A0312","A0312","Pesca en agua dulce","cnae_A031"
"cnae_A032","A032","Acuicultura","cnae_A03"
"cnae_A0321","A0321","Acuicultura marina","cnae_A032"
"cnae_A0322","A0322","Acuicultura en agua dulce","cnae_A032"
