"id","code","description"
"mutua_0","0","AUTOSEGURO"
"mutua_1","1","M MIDAT CYCLOPS"
"mutua_2","2","MUTUALIA"
"mutua_3","3","REDDISMATT"
"mutua_5","5","Mutua Catalana Acc. de Trabajo"
"mutua_7","7","Mutua Montañesa"
"mutua_8","8","Mutua Asturiana de Accidentes"
"mutua_9","9","Mutua Regional Acc. de Trabajo"
"mutua_10","10","Mutua Universal Mugenat"
"mutua_11","11","M.A.Z"
"mutua_13","13","SAT"
"mutua_15","15","Umivale"
"mutua_19","19","Reddis Union Mutual"
"mutua_20","20","Mutua de Vizcaya Industrial"
"mutua_21","21","Muta Navarra"
"mutua_25","25","MUPA"
"mutua_35","35","FIMAC"
"mutua_38","38","Mutua de A.T. de Tarrragona"
"mutua_39","39","Mutua Intercomarcal"
"mutua_48","48","PAKEA"
"mutua_61","61","FREMAP"
"mutua_72","72","Solimat"
"mutua_85","85","Mutua de Egara"
"mutua_115","115","Mutua de Ceuta-SMAT"
"mutua_151","151","ASEPEYO"
"mutua_183","183","Mutua Balear"
"mutua_201","201","Mutua Gallega de A.T"
"mutua_267","267","Union de Mutuas Unimat"
"mutua_271","271","Union Musuba-Ibesvico"
"mutua_272","272","M.A.C Mutua de A.Canaria"
"mutua_274","274","Ibermutuamur"
"mutua_275","275","Fraternidad - Muprespa"
"mutua_276","276","EGARSAL"
