"id","code","description"
"reg_0111","0111","REGIMEN GENERAL"
"reg_0112","0112","ARTISTAS (R.G.)"
"reg_0113","0113","JUGADORES PROFESIONALES DE FUTBOL"
"reg_0114","0114","PROFESIONALES TAURINOS"
"reg_0115","0115","FERROVIARIOS"
"reg_0121","0121","REPRESENTANTES COMERCIALES"
"reg_0131","0131","SISTEMA ESPECIAL RESINA"
"reg_0132","0132","SISTEMA ESPECIAL INDUSTRIAS DE CONSERVAS VEGETALES"
"reg_0133","0133","SISTEMA ESPECIAL FRUTAS Y HORTALIZAS"
"reg_0134","0134","SISTEMA ESPECIAL EMPAQUETADO Y MANIPULADO DE TOMATE FRESCO"
"reg_0135","0135","SISTEMA ESPECIAL HOSTELERRA"
"reg_0136","0136","SISTEMA ESPECIAL EXHIBICION CINEMATOGRAFICA, SALAS DE BAILE, DISCOTECAS Y SALAS DE FIESTAS"
"reg_0137","0137","SISTEMA ESPECIAL ESTUDIOS DE MERCADO Y OPINION PUBLICA"
"reg_0138","0138","REG.GRAL. (SIST.ESP. EMPLEADOS HOGAR)"
"reg_0140","0140","REGIMEN GENERAL ( CONVENIO ESPECIAL )"
"reg_0150","0150","REG.GRAL.CCC.RESP.SOLID.,SUBS.,MORTIS C"
"reg_0151","0151","C.C. CONVENCIONALES DEL R.E.T.A."
"reg_0152","0152","C.C. CONVENCIONALES DEL R.E.T.A. (ESC. DE LIBROS)"
"reg_0160","0160","C.C. CONVENCIONALES DEL R.E.A. C/A"
"reg_0161","0161","REG.GRAL.(SIST.ESP.AGRARIO.INACTIV)"
"reg_0163","0163","REG.GRAL.(SIST.ESP.AGRARIO CCC)"
"reg_0170","0170","C.C. CONVENCIONALES DEL R.E.A. C/P"
"reg_0180","0180","C.C. CONVENCIONALES DEL R.E.E.H."
"reg_0521","0521","TRABAJADORES AUTONOMOS"
"reg_0522","0522","ESCRITORES DE LIBROS (REGIMEN ESPECIAL DE TRABAJADORES AUTONOMOS)"
"reg_0531","0531","REGIMEN ESP. AUTONOMOS CESE ACTIVIDAD"
"reg_0540","0540","REG.ESP.AUTONOMOS(CONVENIO ESPECIAL)"
"reg_0611","0611","TRABAJADOR POR CUENTA AJENA"
"reg_0613","0613","REGIMEN ESPECIAL AGRARIO"
"reg_0640","0640","REG.ESP.AGRARIO CUENTA AJ.(CONVENIO ESP)"
"reg_0650","0650","REA C/A.CCC.RESP.SOLID.,SUBS.,MORTIS C"
"reg_0721","0721","TRABAJADOR CUENTA PROPIA (R.E.A.)"
"reg_0740","0740","REG.ESP.AGRARIO CUENTA PR.(CONVENIO ESP)"
"reg_0800","0800","RÈGIMEN ESPECIAL DE TRABAJADORES DEL MAR"
"reg_0811","0811","TRABAJADOR POR CUENTA AJENA GRUPO 1 (RE. MAR)"
"reg_0812","0812","TRABAJADOR POR CUENTA AJENA GRUPO 2 (RE. MAR)"
"reg_0813","0813","TRABAJADOR POR CUENTA AJENA GRUPO 2B(RE. MAR)"
"reg_0814","0814","TRABAJADOR POR CUENTA AJENA GRUPO 3 (RE. MAR)"
"reg_0821","0821","TRABAJADOR POR CUENTA PROPIA GRUPO 1 ASIM. C.AJENA (R.E.M.)"
"reg_0822","0822","TRABAJADOR POR CUENTA PROPIA GRUPO 2.A ASIMI. C.AJENA (R.E.M)"
"reg_0823","0823","TRABAJADOR POR CUENTA PROPIA GRUPO 2.B ASIM. C. AJENA (R.E.M)"
"reg_0825","0825","TRABAJADOR POR CUENTA PROPIA GRUPO 3 C. INDIVIDUAL (R.E.M)"
"reg_0831","0831","REGIMEN ESP.MAR.AUTONOMOS CESE ACTIVIDAD"
"reg_0840","0840","REG.ESPECIAL DEL MAR (CONVENIO ESPECIAL)"
"reg_0850","0850","R.E.MAR.C/A.RESP.SOLID.,SUBS.,MORTIS C"
"reg_0899","0899","REGIMEN ESPECIAL MAR DESEMPLEO"
"reg_0911","0911","MINERIA DEL CARBON"
"reg_0940","0940","REG.ESP.MINERIA CARBON (CONVENIO ESP.)"
"reg_0950","0950","R.E.CARSEPEON.RESP.SOLIDAR.,SUSEPES.,MORTIS C"
"reg_1211","1211","REGIMEN ESPECIAL HOGAR (FIJOS)"
"reg_1221","1221","REGIMEN ESPECIAL HOGAR (DISCONTINUOS)"
"reg_1240","1240","REG.ESP.EMPLEADOS HOGAR (CONVENIO ESP.)"
"reg_1250","1250","R.E.H.FIJOS RESP.SOLIDAR.,SUBS,MORTIS C"
"reg_1911","1911","SEGURO ESCOLAR"
"reg_2300","2300","RECURSOS DIVERSOS"
"reg_2311","2311","RESPONS. DE RECURSOS DISTINTOS DE CUOTAS"
"reg_3011","3011","CONCIERTO ASISTENCIA SANITARIA"
"reg_3040","3040","ASISTENCIA SANITARIA(CONVENIO ESPECIAL)"
"reg_4008","4008","CONVENIOS ESPECIALES DE R.E.M."
