"id","code","description"
"cat_003","003","Gerente"
"cat_016","016","Directora Funciones"
"cat_105","105","Jefe Dpto. Comercial"
"cat_106","106","Jefe Tecnico Servicios"
"cat_200","200","Titulado Superior"
"cat_220","220","Licenciado/a"
"cat_223","223","Medico"
"cat_400","400","Titulado Medio"
"cat_402","402","A.T.S"
"cat_505","505","Ayudante Obra"
"cat_530","530","Auxiliar Clinica"
"cat_560","560","Delineante"
"cat_587","587","Tecnico Informatico"
"cat_600","600","Jefe Administrativo"
"cat_603","603","Jefe Administracion"
"cat_610","610","Oficial 1 Administracion"
"cat_613","613","Oficial 2 Administracion"
"cat_614","614","Administrativo/a"
"cat_615","615","Auxiliar Administrativo"
"cat_616","616","Administrativo/a"
"cat_617","617","Auxiliar Comercial"
"cat_620","620","Telefonista"
"cat_621","621","Recepcionista"
"cat_700","700","Encargado General"
"cat_706","706","Jefe Planta"
"cat_708","708","Jefe de Taller"
"cat_709","709","Jefe de Servicio"
"cat_710","710","Encargado"
"cat_712","712","Capataz"
"cat_716","716","Jefe Explotacion"
"cat_727","727","Jefe de Equipo"
"cat_728","728","Responsable de equipo"
"cat_735","735","Supervisor/a"
"cat_741","741","Encargado General"
"cat_765","765","Jefe de recepcion"
"cat_802","802","Conductor"
"cat_804","804","Verificador"
"cat_805","805","Oficial de 1"
"cat_806","806","Oficial 1"
"cat_807","807","Oficial 1"
"cat_808","808","Oficial Conductor"
"cat_809","809","Peon conductor"
"cat_810","810","Oficial 1"
"cat_811","811","Oficial 1"
"cat_812","812","Oficial 1"
"cat_813","813","Oficial 2"
"cat_814","814","Oficial 2"
"cat_815","815","Oficial 2"
"cat_818","818","Oficial 1"
"cat_820","820","Oficial 3"
"cat_828","828","Maquinista"
"cat_833","833","Peon Especialista"
"cat_834","834","Ayudante"
"cat_835","835","Peon Especialista"
"cat_836","836","Peon Especialista"
"cat_839","839","Peon"
"cat_840","840","Peon"
"cat_841","841","Peón Especialista"
"cat_842","842","Operario"
"cat_843","843","Peon"
"cat_849","849","Aprendiz"
"cat_850","850","Pinche de Cocina"
"cat_851","851","Peon"
"cat_852","852","Peon Ordinario"
"cat_853","853","Peon"
"cat_857","857","Jardinero"
"cat_858","858","Especialista"
"cat_860","860","Vigilante"
"cat_861","861","Guarda"
"cat_862","862","Limpiador/a"
"cat_863","863","Limpiador/a"
"cat_865","865","Conserje"
"cat_867","867","Auxiliar Jardinero"
"cat_875","875","Limpiador/a"
"cat_879","879","Oficial Jardinero"
"cat_901","901","Cocinero"
"cat_902","902","Camarero"
"cat_903","903","Ayudante de Cocina"
"cat_904","904","Auxiliar de Lavanderia"
"cat_905","905","Auxiliar man"
"cat_939","939","Subalterno"
"cat_940","940","Tecnico Sonido"
"cat_945","945","Operario de mantenimiento"
"cat_946","946","Auxiliar de servicio"
"cat_957","957","Tecnico Telefonia"
"cat_958","958","Regente"
"cat_959","959","Tecnico Imagen"
"cat_960","960","Tecnico Esp. Contra Incendios"
