"id","code","description","min","max","type"
"grpcot_01","1","Ingenieros y Licenciados","1067.40","3642.00","M"
"grpcot_02","2","Ingenieros Técnicos, Peritos y Ayudantes Titulados","885.30","3642.00","M"
"grpcot_03","3","Jefes Administrativos y de Taller","770.10","3642.00","M"
"grpcot_04","4","Ayudantes no Titulados","764.40","3642.00","M"
"grpcot_05","5","Oficiales Administrativos","764.40","3642.00","M"
"grpcot_06","6","Subalternos","764.40","3642.00","M"
"grpcot_07","7","Auxiliares Administrativos","764.40","3642.00","M"
"grpcot_08","8","Oficiales de primera y segunda","25.48","121.40","D"
"grpcot_09","9","Oficiales de tercera y Especialistas","25.48","121.40","D"
"grpcot_10","10","Peones","25.48","121.40","D"
"grpcot_11","11","Trabajadores menores de 18, cualquiera que sea su categoría profesional","25.48","121.40","D"
