"id","code","description"
"ocu_01","0011","Oficiales de las fuerzas armadas"
"ocu_02","0012","Suboficiales de las fuerzas armadas"
"ocu_03","0020","Tropa y marinería de las fuerzas armadas"
"ocu_04","1111","Miembros del poder ejecutivo (nacional"
"ocu_05","1112","Personal directivo de la Administración Pública"
"ocu_06","1113","Directores de organizaciones de interés social"
"ocu_07","1120","Directores generales y presidentes ejecutivos"
"ocu_08","1211","Directores financieros"
"ocu_09","1212","Directores de recursos humanos"
"ocu_10","1219","Directores de políticas y planificación y de otros departamentos administrativos no clasificados bajo otros epígrafes"
"ocu_11","1221","Directores comerciales y de ventas"
"ocu_12","1222","Directores de publicidad y relaciones públicas"
"ocu_13","1223","Directores de investigación y desarrollo"
"ocu_14","1311","Directores de producción de explotaciones agropecuarias y forestales"
"ocu_15","1312","Directores de producción de explotaciones pesqueras y acuícolas"
"ocu_16","1313","Directores de industrias manufactureras"
"ocu_17","1314","Directores de explotaciones mineras"
"ocu_18","1315","Directores de empresas de abastecimiento"
"ocu_19","1316","Directores de empresas de construcción"
"ocu_20","1321","Directores de servicios de tecnologías de la información y las comunicaciones (TIC)"
"ocu_21","1322","Directores de servicios sociales para niños"
"ocu_22","1323","Directores-gerentes de centros sanitarios"
"ocu_23","1324","Directores de servicios sociales para personas mayores"
"ocu_24","1325","Directores de otros servicios sociales"
"ocu_25","1326","Directores de servicios de educación"
"ocu_26","1327","Directores de sucursales de bancos"
"ocu_27","1329","Directores de otras empresas de servicios profesionales no clasificados bajo otros epígrafes"
"ocu_28","1411","Directores y gerentes de hoteles"
"ocu_29","1419","Directores y gerentes de otras empresas de servicios de alojamiento"
"ocu_30","1421","Directores y gerentes de restaurantes"
"ocu_31","1422","Directores y gerentes de bares"
"ocu_32","1429","Directores y gerentes de empresas de catering y otras empresas de restauración"
"ocu_33","1431","Directores y gerentes de empresas de comercio al por mayor"
"ocu_34","1432","Directores y gerentes de empresas de comercio al por menor"
"ocu_35","1501","Directores y gerentes de empresas de actividades recreativas"
"ocu_36","1509","Directores y gerentes de empresas de gestión de residuos y de otras empresas de servicios no clasificados bajo otros epígrafes"
"ocu_37","2111","Médicos de familia"
"ocu_38","2112","Otros médicos especialistas"
"ocu_39","2121","Enfermeros no especializados"
"ocu_40","2122","Enfermeros especializados (excepto matronos)"
"ocu_41","2123","Matronos"
"ocu_42","2130","Veterinarios"
"ocu_43","2140","Farmacéuticos"
"ocu_44","2151","Odontólogos y estomatólogos"
"ocu_45","2152","Fisioterapeutas"
"ocu_46","2153","Dietistas y nutricionistas"
"ocu_47","2154","Logopedas"
"ocu_48","2155","Ópticos-optometristas"
"ocu_49","2156","Terapeutas ocupacionales"
"ocu_50","2157","Podólogos"
"ocu_51","2158","Profesionales de la salud y la higiene laboral y ambiental"
"ocu_52","2159","Profesionales de la salud no clasificados bajo otros epígrafes"
"ocu_53","2210","Profesores de universidades y otra enseñanza superior (excepto formación profesional)"
"ocu_54","2220","Profesores de formación profesional (materias específicas)"
"ocu_55","2230","Profesores de enseñanza secundaria (excepto materias específicas de formación profesional)"
"ocu_56","2240","Profesores de enseñanza primaria"
"ocu_57","2251","Maestros de educación infantil"
"ocu_58","2252","Técnicos en educación infantil"
"ocu_59","2311","Profesores de educación especial"
"ocu_60","2312","Técnicos educadores de educación especial"
"ocu_61","2321","Especialistas en métodos didácticos y pedagógicos"
"ocu_62","2322","Profesores de enseñanza no reglada de idiomas"
"ocu_63","2323","Profesores de enseñanza no reglada de música y danza"
"ocu_64","2324","Profesores de enseñanza no reglada de artes"
"ocu_65","2325","Instructores en tecnologías de la información en enseñanza no reglada"
"ocu_66","2326","Profesionales de la educación ambiental"
"ocu_67","2329","Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes"
"ocu_68","2411","Físicos y astrónomos"
"ocu_69","2412","Meteorólogos"
"ocu_70","2413","Químicos"
"ocu_71","2414","Geólogos y geofísicos"
"ocu_72","2415","Matemáticos y actuarios"
"ocu_73","2416","Estadísticos"
"ocu_74","2421","Biólogos"
"ocu_75","2422","Ingenieros agrónomos"
"ocu_76","2423","Ingenieros de montes"
"ocu_77","2424","Ingenieros técnicos agrícolas"
"ocu_78","2425","Ingenieros técnicos forestales y del medio natural"
"ocu_79","2426","Profesionales de la protección ambiental"
"ocu_80","2427","Enólogos"
"ocu_81","2431","Ingenieros industriales y de producción"
"ocu_82","2432","Ingenieros en construcción y obra civil"
"ocu_83","2433","Ingenieros mecánicos"
"ocu_84","2434","Ingenieros aeronáuticos"
"ocu_85","2435","Ingenieros químicos"
"ocu_86","2436","Ingenieros de minas"
"ocu_87","2437","Ingenieros ambientales"
"ocu_88","2439","Ingenieros no clasificados bajo otros epígrafes"
"ocu_89","2441","Ingenieros en electricidad"
"ocu_90","2442","Ingenieros electrónicos"
"ocu_91","2443","Ingenieros en telecomunicaciones"
"ocu_92","2451","Arquitectos (excepto arquitectos paisajistas y urbanistas)"
"ocu_93","2452","Arquitectos paisajistas"
"ocu_94","2453","Urbanistas e ingenieros de tráfico"
"ocu_95","2454","Ingenieros geógrafos y cartógrafos"
"ocu_96","2461","Ingenieros técnicos industriales y de producción"
"ocu_97","2462","Ingenieros técnicos de obras públicas"
"ocu_98","2463","Ingenieros técnicos mecánicos"
"ocu_99","2464","Ingenieros técnicos aeronáuticos"
"ocu_100","2465","Ingenieros técnicos químicos"
"ocu_101","2466","Ingenieros técnicos de minas"
"ocu_102","2469","Ingenieros técnicos no clasificados bajo otros epígrafes"
"ocu_103","2471","Ingenieros técnicos en electricidad"
"ocu_104","2472","Ingenieros técnicos en electrónica"
"ocu_105","2473","Ingenieros técnicos en telecomunicaciones"
"ocu_106","2481","Arquitectos técnicos y técnicos urbanistas"
"ocu_107","2482","Diseñadores de productos y de prendas"
"ocu_108","2483","Ingenieros técnicos en topografía"
"ocu_109","2484","Diseñadores gráficos y multimedia"
"ocu_110","2511","Abogados"
"ocu_111","2512","Fiscales"
"ocu_112","2513","Jueces y magistrados"
"ocu_113","2591","Notarios y registradores"
"ocu_114","2592","Procuradores"
"ocu_115","2599","Profesionales del derecho no clasificados bajo otros epígrafes"
"ocu_116","2611","Especialistas en contabilidad"
"ocu_117","2612","Asesores financieros y en inversiones"
"ocu_118","2613","Analistas financieros"
"ocu_119","2621","Analistas de gestión y organización"
"ocu_120","2622","Especialistas en administración de política de empresas"
"ocu_121","2623","Especialistas de la Administración Pública"
"ocu_122","2624","Especialistas en políticas y servicios de personal y afines"
"ocu_123","2625","Especialistas en formación de personal"
"ocu_124","2630","Técnicos de empresas y actividades turísticas"
"ocu_125","2640","Profesionales de ventas técnicas y médicas (excepto las TIC)"
"ocu_126","2651","Profesionales de la publicidad y la comercialización"
"ocu_127","2652","Profesionales de relaciones públicas"
"ocu_128","2653","Profesionales de la venta de tecnologías de la información y las comunicaciones"
"ocu_129","2711","Analistas de sistemas"
"ocu_130","2712","Analistas y diseñadores de software"
"ocu_131","2713","Analistas"
"ocu_132","2719","Analistas y diseñadores de software y multimedia no clasificados bajo otros epígrafes"
"ocu_133","2721","Diseñadores y administradores de bases de datos"
