"id","code","description","active"
"desem_1","1","Desempleado","1"
"desem_2","2","Desempleado Ofic.Empleo >12 Meses","1"
"desem_3","3","Desempleado Subsidio REA","1"
"desem_4","4","Beneficiario Prest.Desempleo >1 año","1"
"desem_5","5","Inscrito Ofic.Empleo >6 Mese","1"
"desem_6","6","Falta 1 Año o Mas Prest.Desempleo","1"
"desem_7","7","Benefic. Subs.Desempleo (Mayor 52 años)","1"
"desem_9","9","No Inscrito Ofic.Empleo","1"
"desem_A","A","Beneficiario Prest.Desempleo","1"
"desem_B","B","Desempleado Problemas Empleabilidad","1"
"desem_C","C","Desempleado 01/01/2011","1"
"desem_D","D","Desempleado 01/01/2011. 12 Meses en 18 Meses","1"
"desem_E","E","Desempleado 19/08/2011","1"
"desem_F","F","Inscrito Ofic.Empleo Carga Familiar","1"

"desem_K","K","Desempleado sin título oficial enseñanza","1"
"desem_9","P","Tarifa Plana","1"
"desem_9","R","Tarifa reducida","1"
