"id","code","description","active"
"afi_1","MA","Alta","1"
"afi_2","MB","Baja","1"
"afi_3","ME","Eliminacion de movimiento previo","0"
"afi_4","MG","Cambio de grupo cotizacion","1"
"afi_5","MC","Cambio de contrato (tipo/coeficiente)","1"
"afi_6","MT","Cambio de ocupacion","1"
"afi_7","MD","Eliminacion de altas consolidadas","0"
"afi_8","MR","Eliminacion de bajas consolidadas","0"
"afi_9","IC","Cambio de contrato (Paso a inactividad)","0"
"afi_10","IA","Alta con paso a inactividad","0"
"afi_11","ADT","Anotacion de dias trabajador","0"
"afi_12","EDT","Eliminacion de dias trabajados","0"
"afi_13","ACT","Anotacion de Convenio Colectivo","0"
"afi_14","ASA","Anotacion de periodos situacion adicional de afiliacion","0"
"afi_15","MSA","Modificacion de periodos situacion adicional de afiliacion","0"
"afi_16","ESA","Eliminacion de periodos situacion de afiliacion","0"
"afi_17","MHU","Mecanizacion de Huelga","0"
