"code";"description"
"CBC4001";"No se ha comunicado la copia b�sica para este contrato                                                                                                                                          "
"CBC6001";"Copia b�sica del contrato realizada correctamente.                                                                                                                                              "
"CBT4001";"No se ha comunicado la copia b�sica para esta transformaci�n                                                                                                                                    "
"CBT6001";"Copia b�sica de la transformaci�n realizada correctamente.                                                                                                                                      "
"CCT0001";"Trabajador menor de 16 a�os. No se acepta la comunicaci�n.                                                                                                                                      "
"CCT0002";"Nivel  Formativo no v�lido. No se acepta la comunicaci�n.                                                                                                                                       "
"CCT0003";"La longitud del N�mero de Afiliaci�n (NASS) no es correcta. No se acepta la comunicaci�n.                                                                                                       "
"CCT0004";"El r�gimen de la Cuenta de Cotizaci�n no es correcto.                                                                                                                                           "
"CCT0005";"La provincia de la Cuenta de Cotizaci�n no es correcta.                                                                                                                                         "
"CCT0006";"Error en el d�gito de control de la Cuenta de Cotizaci�n.                                                                                                                                       "
"CCT0007";"Valor incorrecto en el n�mero de la Cuenta de Cotizaci�n.                                                                                                                                       "
"CCT0008";"Las iniciales del nombre y primer apellido no existen en la tabla. No se acepta la comunicaci�n.                                                                                                "
"CCT0009";"El identificador de persona f�sica no es correcto.                                                                                                                                              "
"CCT0010";"El c�digo de contrato no es correcto. No se acepta la comunicaci�n.                                                                                                                             "
"CCT0011";"Obligatorio seleccionar un tipo de contrato. No se acepta la comunicaci�n.                                                                                                                      "
"CCT0012";"Obligatorio rellenar la fecha de inicio del contrato. No se acepta la comunicaci�n.                                                                                                             "
"CCT0013";"La provincia del N�mero de Afiliaci�n no es correcta. No se acepta la comunicaci�n.                                                                                                             "
"CCT0014";"Obligatorio seleccionar la ocupaci�n. No se acepta la comunicaci�n.                                                                                                                             "
"CCT0015";"Obligatorio seleccionar la nacionalidad del puesto de trabajo. No se acepta la comunicaci�n.                                                                                                    "
"CCT0016";"Obligatorio seleccionar el municipio del puesto de trabajo. No se acepta la comunicaci�n.                                                                                                       "
"CCT0017";"No est� permitido rellenar el municipio del trabajo cuando la nacionalidad no es Espa�a. No se acepta la comunicaci�n.                                                                          "
"CCT0018";"No se admite la nacionalidad Espa�ola. No se acepta la comunicaci�n.                                                                                                                            "
"CCT0019";"Campo municipio de residencia sin cumplimentar. No se acepta la comunicaci�n.                                                                                                                   "
"CCT0020";"La fecha de comunicaci�n es mayor que la de proceso en el servidor. No se acepta la comunicaci�n.                                                                                               "
"CCT0021";"La fecha de comunicaci�n  es anterior a la fecha m�nima de comunicaci�n permitida para este tipo de contrato. No se acepta la comunicaci�n.                                                     "
"CCT0022";"El formato de la fecha comunicaci�n es incorrecto. No se acepta la comunicaci�n.                                                                                                                "
